label,iter,n,elapsed,valid
Naive,1,20,7420044,true
Naive,2,20,7420480,true
Naive,3,20,7450810,true
Naive,4,20,7418663,true
Naive,5,20,7420074,true
Naive,6,20,7416546,true
Naive,7,20,7476717,true
Naive,8,20,7418604,true
Naive,9,20,7456693,true
Naive,10,20,7420798,true
Naive,11,20,7417724,true
Berger,1,20,2192253,true
Berger,2,20,2190285,true
Berger,3,20,2250069,true
Berger,4,20,2223230,true
Berger,5,20,2190232,true
Berger,6,20,2191862,true
Berger,7,20,2241558,true
Berger,8,20,2191135,true
Berger,9,20,2190166,true
Berger,10,20,2197274,true
Berger,11,20,2235437,true
Pruned,1,20,729366,true
Pruned,2,20,753878,true
Pruned,3,20,753623,true
Pruned,4,20,753919,true
Pruned,5,20,719970,true
Pruned,6,20,715051,true
Pruned,7,20,715190,true
Pruned,8,20,725958,true
Pruned,9,20,754070,true
Pruned,10,20,717519,true
Pruned,11,20,715827,true
Effectful,1,20,5072401,true
Effectful,2,20,5121789,true
Effectful,3,20,5215008,true
Effectful,4,20,5070199,true
Effectful,5,20,5039278,true
Effectful,6,20,5162066,true
Effectful,7,20,5198009,true
Effectful,8,20,5112561,true
Effectful,9,20,5218954,true
Effectful,10,20,5019259,true
Effectful,11,20,5038770,true
