label,iter,n,elapsed,valid
Naive,1,20,13531351,true
Naive,2,20,13456253,true
Naive,3,20,13359180,true
Naive,4,20,13341791,true
Naive,5,20,13463279,true
Naive,6,20,13346110,true
Naive,7,20,13417520,true
Naive,8,20,13305648,true
Naive,9,20,13366726,true
Naive,10,20,13369631,true
Naive,11,20,13519623,true
Berger,1,20,4403027,true
Berger,2,20,4441008,true
Berger,3,20,4395892,true
Berger,4,20,4441377,true
Berger,5,20,4390734,true
Berger,6,20,4454563,true
Berger,7,20,4490054,true
Berger,8,20,4387645,true
Berger,9,20,4441368,true
Berger,10,20,4377058,true
Berger,11,20,4395122,true
Pruned,1,20,1816862,true
Pruned,2,20,1784562,true
Pruned,3,20,1782677,true
Pruned,4,20,1781965,true
Pruned,5,20,1782181,true
Pruned,6,20,1778904,true
Pruned,7,20,1781111,true
Pruned,8,20,1794872,true
Pruned,9,20,1780479,true
Pruned,10,20,1814752,true
Pruned,11,20,1855453,true
Effectful,1,20,1034239,true
Effectful,2,20,996983,true
Effectful,3,20,1021961,true
Effectful,4,20,1026686,true
Effectful,5,20,985600,true
Effectful,6,20,992344,true
Effectful,7,20,987310,true
Effectful,8,20,982842,true
Effectful,9,20,985948,true
Effectful,10,20,988534,true
Effectful,11,20,1038940,true
