label,iter,n,elapsed,valid
Berger,1,1,1186482,true
Berger,2,1,1207887,true
Berger,3,1,1169724,true
Berger,4,1,1170770,true
Berger,5,1,1169798,true
Berger,6,1,1169989,true
Berger,7,1,1169400,true
Berger,8,1,1220805,true
Berger,9,1,1170170,true
Berger,10,1,1169749,true
Berger,11,1,1169772,true
Pruned,1,1,208770,true
Pruned,2,1,208223,true
Pruned,3,1,208445,true
Pruned,4,1,208201,true
Pruned,5,1,208323,true
Pruned,6,1,208344,true
Pruned,7,1,208503,true
Pruned,8,1,208452,true
Pruned,9,1,208299,true
Pruned,10,1,208347,true
Pruned,11,1,208147,true
cc,1,1,539715,true
cc,2,1,543667,true
cc,3,1,566570,true
cc,4,1,566628,true
cc,5,1,566605,true
cc,6,1,547889,true
cc,7,1,537647,true
cc,8,1,537892,true
cc,9,1,537998,true
cc,10,1,537468,true
cc,11,1,537684,true
Berger,1,2,9139804,true
Berger,2,2,9167392,true
Berger,3,2,9150830,true
Berger,4,2,9195892,true
Berger,5,2,9222843,true
Berger,6,2,9254296,true
Berger,7,2,9224123,true
Berger,8,2,9161667,true
Berger,9,2,9120645,true
Berger,10,2,9167790,true
Berger,11,2,9155256,true
Pruned,1,2,1659322,true
Pruned,2,2,1660237,true
Pruned,3,2,1657868,true
Pruned,4,2,1637339,true
Pruned,5,2,1618637,true
Pruned,6,2,1617882,true
Pruned,7,2,1668996,true
Pruned,8,2,1617996,true
Pruned,9,2,1617253,true
Pruned,10,2,1617466,true
Pruned,11,2,1617670,true
cc,1,2,2586248,true
cc,2,2,2539903,true
cc,3,2,2570016,true
cc,4,2,2540445,true
cc,5,2,2540613,true
cc,6,2,2559522,true
cc,7,2,2554596,true
cc,8,2,2553607,true
cc,9,2,2580296,true
cc,10,2,2540754,true
cc,11,2,2540510,true
Berger,1,3,42087534,true
Berger,2,3,42165701,true
Berger,3,3,42177698,true
Berger,4,3,42203793,true
Berger,5,3,42103792,true
Berger,6,3,42038439,true
Berger,7,3,42242746,true
Berger,8,3,42380005,true
Berger,9,3,42099784,true
Berger,10,3,42076829,true
Berger,11,3,41977374,true
Pruned,1,3,8526220,true
Pruned,2,3,8553151,true
Pruned,3,3,8526865,true
Pruned,4,3,8559842,true
Pruned,5,3,8527361,true
Pruned,6,3,8600877,true
Pruned,7,3,8548666,true
Pruned,8,3,8527740,true
Pruned,9,3,8554958,true
Pruned,10,3,8679264,true
Pruned,11,3,8662302,true
Effectful,1,3,9949228,true
Effectful,2,3,9956761,true
Effectful,3,3,9890572,true
Effectful,4,3,9933604,true
Effectful,5,3,9926509,true
Effectful,6,3,10003506,true
Effectful,7,3,9861904,true
Effectful,8,3,10011690,true
