label,iter,n,elapsed,valid
Berger,1,1,3203893,true
Berger,2,1,3198427,true
Berger,3,1,3198394,true
Berger,4,1,3198811,true
Berger,5,1,3198719,true
Berger,6,1,3199024,true
Berger,7,1,3197477,true
Berger,8,1,3197349,true
Berger,9,1,3198654,true
Berger,10,1,3199791,true
Berger,11,1,3197760,true
Pruned,1,1,583197,true
Pruned,2,1,582534,true
Pruned,3,1,582840,true
Pruned,4,1,582600,true
Pruned,5,1,583302,true
Pruned,6,1,583380,true
Pruned,7,1,582681,true
Pruned,8,1,582391,true
Pruned,9,1,582736,true
Pruned,10,1,582970,true
Pruned,11,1,582847,true
Effectful,1,1,141013,true
Effectful,2,1,141735,true
Effectful,3,1,142445,true
Effectful,4,1,142431,true
Effectful,5,1,142084,true
Effectful,6,1,141596,true
Effectful,7,1,142059,true
Effectful,8,1,142608,true
Effectful,9,1,141834,true
Effectful,10,1,142315,true
Effectful,11,1,142175,true
Berger,1,2,24630226,true
Berger,2,2,24621983,true
Berger,3,2,24624273,true
Berger,4,2,24772025,true
Berger,5,2,24924382,true
Berger,6,2,24624814,true
Berger,7,2,24668568,true
Berger,8,2,24627095,true
Berger,9,2,24628830,true
Berger,10,2,24643990,true
Berger,11,2,24765172,true
Pruned,1,2,4628250,true
Pruned,2,2,4628906,true
Pruned,3,2,4628869,true
Pruned,4,2,4628283,true
Pruned,5,2,4628873,true
Pruned,6,2,4649563,true
Pruned,7,2,4629614,true
Pruned,8,2,4630599,true
Pruned,9,2,4625698,true
Pruned,10,2,4629883,true
Pruned,11,2,4638367,true
Effectful,1,2,849107,true
Effectful,2,2,851192,true
Effectful,3,2,850996,true
Effectful,4,2,848827,true
Effectful,5,2,848953,true
Effectful,6,2,850666,true
Effectful,7,2,850795,true
Effectful,8,2,849591,true
Effectful,9,2,851254,true
Effectful,10,2,850202,true
Effectful,11,2,848436,true
Berger,1,3,114068302,true
Berger,2,3,114153120,true
Berger,3,3,114485417,true
Berger,4,3,114216576,true
Berger,5,3,115216732,true
Berger,6,3,114070091,true
Berger,7,3,114543151,true
Berger,8,3,114658123,true
Berger,9,3,114101642,true
Berger,10,3,114201007,true
Berger,11,3,114661620,true
Pruned,1,3,24337081,true
Pruned,2,3,24576385,true
Pruned,3,3,24382466,true
Pruned,4,3,24331484,true
Pruned,5,3,24337740,true
Pruned,6,3,24759927,true
Pruned,7,3,24329433,true
Pruned,8,3,24353376,true
Pruned,9,3,24325981,true
Pruned,10,3,24332758,true
Pruned,11,3,24340599,true
Effectful,1,3,3797694,true
Effectful,2,3,3782500,true
Effectful,3,3,3784166,true
Effectful,4,3,3790141,true
Effectful,5,3,3780398,true
Effectful,6,3,3792205,true
Effectful,7,3,3926263,true
Effectful,8,3,3800158,true
Effectful,9,3,3787258,true
Effectful,10,3,3794650,true
Effectful,11,3,3783372,true
Berger,1,4,428298939,true
Berger,2,4,427887023,true
Berger,3,4,428085203,true
Berger,4,4,428345469,true
Berger,5,4,428055122,true
Berger,6,4,428075063,true
Berger,7,4,427639925,true
Berger,8,4,428020950,true
Berger,9,4,428409025,true
Berger,10,4,428104627,true
Berger,11,4,428060651,true
Pruned,1,4,106044991,true
Pruned,2,4,105823705,true
Pruned,3,4,105836572,true
Pruned,4,4,106074766,true
Pruned,5,4,106484088,true
Pruned,6,4,106026570,true
Pruned,7,4,106101226,true
