label,iter,n,elapsed,valid
Naive,1,14,539056,true
Naive,2,14,530494,true
Naive,3,14,530961,true
Naive,4,14,530688,true
Naive,5,14,530610,true
Naive,6,14,531067,true
Naive,7,14,530813,true
Naive,8,14,530583,true
Naive,9,14,530567,true
Naive,10,14,534469,true
Naive,11,14,530901,true
Berger,1,14,238373,true
Berger,2,14,238461,true
Berger,3,14,238232,true
Berger,4,14,238213,true
Berger,5,14,238178,true
Berger,6,14,238224,true
Berger,7,14,238178,true
Berger,8,14,238174,true
Berger,9,14,245726,true
Berger,10,14,251089,true
Berger,11,14,251009,true
Pruned,1,14,48365,true
Pruned,2,14,48269,true
Pruned,3,14,46328,true
Pruned,4,14,45776,true
Pruned,5,14,45766,true
Pruned,6,14,45773,true
Pruned,7,14,45775,true
Pruned,8,14,46034,true
Pruned,9,14,45849,true
Pruned,10,14,45750,true
Pruned,11,14,45866,true
Effectful,1,14,118798,true
Effectful,2,14,117779,true
Effectful,3,14,117869,true
Effectful,4,14,117753,true
Effectful,5,14,117767,true
Effectful,6,14,117799,true
Effectful,7,14,117771,true
Effectful,8,14,117835,true
Effectful,9,14,117851,true
Effectful,10,14,117740,true
Effectful,11,14,117888,true
Naive,1,17,6136574,true
Naive,2,17,6137643,true
Naive,3,17,6136673,true
Naive,4,17,6137713,true
Naive,5,17,6139498,true
Naive,6,17,6138019,true
Naive,7,17,6137348,true
Naive,8,17,6136484,true
Naive,9,17,6160086,true
Naive,10,17,6146653,true
Naive,11,17,6187120,true
Berger,1,17,2330562,true
Berger,2,17,2332540,true
Berger,3,17,2331109,true
Berger,4,17,2381955,true
Berger,5,17,2330862,true
Berger,6,17,2382197,true
Berger,7,17,2330665,true
Berger,8,17,2330518,true
Berger,9,17,2383853,true
Berger,10,17,2389709,true
Berger,11,17,2330819,true
Pruned,1,17,423959,true
Pruned,2,17,423956,true
Pruned,3,17,423793,true
Pruned,4,17,423829,true
Pruned,5,17,424082,true
Pruned,6,17,424090,true
Pruned,7,17,423715,true
Pruned,8,17,423816,true
Pruned,9,17,427889,true
Pruned,10,17,446718,true
Pruned,11,17,437951,true
Effectful,1,17,1231580,true
Effectful,2,17,1228689,true
Effectful,3,17,1205897,true
Effectful,4,17,1166084,true
Effectful,5,17,1166471,true
Effectful,6,17,1195869,true
Effectful,7,17,1198633,true
Effectful,8,17,1212598,true
Effectful,9,17,1165842,true
Effectful,10,17,1166040,true
Effectful,11,17,1166409,true
Naive,1,20,66468701,true
Naive,2,20,66735504,true
Naive,3,20,66307683,true
Naive,4,20,66261424,true
Naive,5,20,66253491,true
Naive,6,20,66391367,true
Naive,7,20,66291550,true
Naive,8,20,66249917,true
Naive,9,20,66300539,true
Naive,10,20,66305032,true
Naive,11,20,66521100,true
Berger,1,20,22031319,true
Berger,2,20,21854340,true
Berger,3,20,22084135,true
Berger,4,20,21904455,true
Berger,5,20,21907545,true
Berger,6,20,21929051,true
Berger,7,20,21921866,true
Berger,8,20,22009477,true
Berger,9,20,21924281,true
Berger,10,20,21904594,true
Berger,11,20,21942619,true
Pruned,1,20,3957787,true
Pruned,2,20,3943228,true
Pruned,3,20,3993129,true
Pruned,4,20,4012924,true
Pruned,5,20,3967184,true
Pruned,6,20,4098201,true
Pruned,7,20,3993343,true
Pruned,8,20,3982790,true
Pruned,9,20,3980836,true
Pruned,10,20,3979389,true
Pruned,11,20,3953715,true
Effectful,1,20,11493169,true
Effectful,2,20,11487813,true
Effectful,3,20,11505598,true
Effectful,4,20,11332280,true
Effectful,5,20,11402557,true
Effectful,6,20,11331443,true
Effectful,7,20,11569041,true
Effectful,8,20,11383849,true
Effectful,9,20,11385555,true
Effectful,10,20,11401520,true
Effectful,11,20,11350988,true
