label,iter,n,elapsed,valid
Naive,1,14,1542875,true
Naive,2,14,1529983,true
Naive,3,14,1540472,true
Naive,4,14,1499643,true
Naive,5,14,1505180,true
Naive,6,14,1501726,true
Naive,7,14,1500260,true
Naive,8,14,1509061,true
Naive,9,14,1502475,true
Naive,10,14,1498552,true
Naive,11,14,1500179,true
Berger,1,14,688545,true
Berger,2,14,687788,true
Berger,3,14,687729,true
Berger,4,14,717523,true
Berger,5,14,708920,true
Berger,6,14,687572,true
Berger,7,14,687684,true
Berger,8,14,702032,true
Berger,9,14,687841,true
Berger,10,14,687645,true
Berger,11,14,687630,true
Pruned,1,14,126146,true
Pruned,2,14,125975,true
Pruned,3,14,126023,true
Pruned,4,14,126006,true
Pruned,5,14,126306,true
Pruned,6,14,126197,true
Pruned,7,14,126054,true
Pruned,8,14,126054,true
Pruned,9,14,126021,true
Pruned,10,14,126174,true
Pruned,11,14,126096,true
Effectful,1,14,33304,true
Effectful,2,14,33232,true
Effectful,3,14,33261,true
Effectful,4,14,33414,true
Effectful,5,14,33382,true
Effectful,6,14,33357,true
Effectful,7,14,33386,true
Effectful,8,14,33331,true
Effectful,9,14,33378,true
Effectful,10,14,33192,true
Effectful,11,14,33367,true
Naive,1,17,17523035,true
Naive,2,17,17498759,true
Naive,3,17,17497503,true
Naive,4,17,17588769,true
Naive,5,17,17461203,true
Naive,6,17,17461632,true
Naive,7,17,17505644,true
Naive,8,17,17468361,true
Naive,9,17,17462022,true
Naive,10,17,17460343,true
Naive,11,17,17664241,true
Berger,1,17,6772403,true
Berger,2,17,6816704,true
Berger,3,17,6809122,true
Berger,4,17,6789417,true
Berger,5,17,6792006,true
Berger,6,17,6742260,true
Berger,7,17,6740746,true
Berger,8,17,6741751,true
Berger,9,17,6823587,true
Berger,10,17,6741394,true
Berger,11,17,6742811,true
Pruned,1,17,1224777,true
Pruned,2,17,1225142,true
Pruned,3,17,1224749,true
Pruned,4,17,1225843,true
Pruned,5,17,1225462,true
Pruned,6,17,1225973,true
Pruned,7,17,1225018,true
Pruned,8,17,1224903,true
Pruned,9,17,1225408,true
Pruned,10,17,1226328,true
Pruned,11,17,1225340,true
Effectful,1,17,302006,true
Effectful,2,17,302883,true
Effectful,3,17,302742,true
Effectful,4,17,303623,true
Effectful,5,17,302764,true
Effectful,6,17,303591,true
Effectful,7,17,302469,true
Effectful,8,17,303089,true
Effectful,9,17,302455,true
Effectful,10,17,303396,true
Effectful,11,17,302196,true
Naive,1,20,189806277,true
Naive,2,20,189194258,true
Naive,3,20,189539136,true
Naive,4,20,189854835,true
Naive,5,20,189570475,true
Naive,6,20,189401390,true
Naive,7,20,189528751,true
Naive,8,20,189534444,true
Naive,9,20,189489155,true
Naive,10,20,190141930,true
Naive,11,20,190319950,true
Berger,1,20,63626386,true
Berger,2,20,63635286,true
Berger,3,20,63638749,true
Berger,4,20,63877278,true
Berger,5,20,63671797,true
Berger,6,20,63763576,true
Berger,7,20,63635335,true
Berger,8,20,63642247,true
Berger,9,20,63628416,true
Berger,10,20,63714839,true
Berger,11,20,63809990,true
Pruned,1,20,11501867,true
Pruned,2,20,11510142,true
Pruned,3,20,11498965,true
Pruned,4,20,11511317,true
Pruned,5,20,11509241,true
Pruned,6,20,11501590,true
Pruned,7,20,11498377,true
Pruned,8,20,11503038,true
Pruned,9,20,11644026,true
Pruned,10,20,11502639,true
Pruned,11,20,11501573,true
Effectful,1,20,2712026,true
Effectful,2,20,2730198,true
Effectful,3,20,2718641,true
Effectful,4,20,2713147,true
Effectful,5,20,2709235,true
Effectful,6,20,2720363,true
Effectful,7,20,2716818,true
Effectful,8,20,2707353,true
Effectful,9,20,2704174,true
Effectful,10,20,2716809,true
Effectful,11,20,2708802,true
