label,iter,n,elapsed,valid
Naive,1,8,363624,true
Naive,2,8,363447,true
Naive,3,8,363219,true
Naive,4,8,363307,true
Naive,5,8,363780,true
Naive,6,8,363532,true
Naive,7,8,363766,true
Naive,8,8,363549,true
Naive,9,8,363610,true
Naive,10,8,363753,true
Naive,11,8,363403,true
Berger,1,8,6473,true
Berger,2,8,6449,true
Berger,3,8,6466,true
Berger,4,8,6448,true
Berger,5,8,6465,true
Berger,6,8,6456,true
Berger,7,8,6458,true
Berger,8,8,6455,true
Berger,9,8,6449,true
Berger,10,8,6465,true
Berger,11,8,6456,true
Pruned,1,8,2595,true
Pruned,2,8,2605,true
Pruned,3,8,2600,true
Pruned,4,8,2587,true
Pruned,5,8,2600,true
Pruned,6,8,2607,true
Pruned,7,8,2586,true
Pruned,8,8,2603,true
Pruned,9,8,2593,true
Pruned,10,8,2605,true
Pruned,11,8,2594,true
Effectful,1,8,23245,true
Effectful,2,8,22889,true
Effectful,3,8,22886,true
Effectful,4,8,22871,true
Effectful,5,8,22883,true
Effectful,6,8,22837,true
Effectful,7,8,22839,true
Effectful,8,8,22834,true
Effectful,9,8,22829,true
Effectful,10,8,23334,true
Effectful,11,8,24071,true
Bespoke,1,8,262,true
Bespoke,2,8,260,true
Bespoke,3,8,260,true
Bespoke,4,8,270,true
Bespoke,5,8,271,true
Bespoke,6,8,257,true
Bespoke,7,8,255,true
Bespoke,8,8,255,true
Bespoke,9,8,255,true
Bespoke,10,8,256,true
Bespoke,11,8,256,true
Naive,1,10,1,false
Naive,2,10,0,false
Naive,3,10,1,false
Naive,4,10,1,false
Naive,5,10,1,false
Naive,6,10,1,false
Naive,7,10,1,false
Naive,8,10,1,false
Naive,9,10,1,false
Naive,10,10,1,false
Naive,11,10,1,false
Berger,1,10,235461,true
Berger,2,10,235421,true
Berger,3,10,235455,true
Berger,4,10,235412,true
Berger,5,10,235473,true
Berger,6,10,235481,true
Berger,7,10,235444,true
Berger,8,10,235491,true
Berger,9,10,235558,true
Berger,10,10,235408,true
Berger,11,10,235403,true
Pruned,1,10,84771,true
Pruned,2,10,84749,true
Pruned,3,10,84721,true
Pruned,4,10,84712,true
Pruned,5,10,84728,true
Pruned,6,10,84731,true
Pruned,7,10,84734,true
Pruned,8,10,84709,true
Pruned,9,10,84814,true
Pruned,10,10,84704,true
Pruned,11,10,83185,true
Effectful,1,10,668528,true
Effectful,2,10,637912,true
Effectful,3,10,637391,true
Effectful,4,10,637452,true
Effectful,5,10,658296,true
Effectful,6,10,659471,true
Effectful,7,10,638140,true
Effectful,8,10,638035,true
Effectful,9,10,637626,true
Effectful,10,10,637520,true
Effectful,11,10,637407,true
Bespoke,1,10,5793,true
Bespoke,2,10,5723,true
Bespoke,3,10,5710,true
Bespoke,4,10,5917,true
Bespoke,5,10,5724,true
Bespoke,6,10,5727,true
Bespoke,7,10,5699,true
Bespoke,8,10,5707,true
Bespoke,9,10,5711,true
Bespoke,10,10,5724,true
Bespoke,11,10,5705,true
Naive,1,12,1,false
Naive,2,12,0,false
Naive,3,12,1,false
Naive,4,12,0,false
Naive,5,12,0,false
Naive,6,12,1,false
Naive,7,12,1,false
Naive,8,12,1,false
Naive,9,12,1,false
Naive,10,12,1,false
Naive,11,12,1,false
Berger,2,12,11520429,true
Berger,3,12,11621155,true
Berger,4,12,11682160,true
Berger,5,12,11596626,true
Berger,6,12,11796184,true
Berger,7,12,11628869,true
Berger,8,12,11562279,true
Berger,9,12,11550668,true
Berger,10,12,11570247,true
Berger,11,12,11582763,true
Berger,1,12,11547224,true
Pruned,1,12,3369432,true
Pruned,2,12,3345263,true
Pruned,3,12,3512293,true
Pruned,4,12,3521149,true
Pruned,5,12,3330192,true
Pruned,6,12,3393559,true
Pruned,7,12,3368497,true
Pruned,8,12,3306567,true
Pruned,9,12,3370315,true
Pruned,10,12,3369393,true
Pruned,11,12,3387469,true
Effectful,1,12,29998691,true
Effectful,2,12,29840798,true
Effectful,3,12,30002857,true
Effectful,4,12,29858780,true
