label,iter,n,elapsed,valid
Naive,1,8,751545,true
Naive,2,8,716842,true
Naive,3,8,721617,true
Naive,4,8,746082,true
Naive,5,8,767126,true
Naive,6,8,752277,true
Naive,7,8,739619,true
Naive,8,8,752593,true
Naive,9,8,711849,true
Naive,10,8,721007,true
Naive,11,8,693261,true
Berger,1,8,7819,true
Berger,2,8,8098,true
Berger,3,8,8075,true
Berger,4,8,8118,true
Berger,5,8,7785,true
Berger,6,8,8021,true
Berger,7,8,8019,true
Berger,8,8,8074,true
Berger,9,8,7872,true
Berger,10,8,7748,true
Berger,11,8,7949,true
Pruned,1,8,4447,true
Pruned,2,8,4582,true
Pruned,3,8,4561,true
Pruned,4,8,4434,true
Pruned,5,8,4434,true
Pruned,6,8,4640,true
Pruned,7,8,4511,true
Pruned,8,8,4574,true
Pruned,9,8,4434,true
Pruned,10,8,4599,true
Pruned,11,8,4438,true
Effectful,1,8,3119,true
Effectful,2,8,3093,true
Effectful,3,8,3080,true
Effectful,4,8,3085,true
Effectful,5,8,3092,true
Effectful,6,8,3147,true
Effectful,7,8,3091,true
Effectful,8,8,3094,true
Effectful,9,8,3100,true
Effectful,10,8,3097,true
Effectful,11,8,3107,true
Bespoke,1,8,369,true
Bespoke,2,8,377,true
Bespoke,3,8,371,true
Bespoke,4,8,368,true
Bespoke,5,8,371,true
Bespoke,6,8,368,true
Bespoke,7,8,372,true
Bespoke,8,8,368,true
Bespoke,9,8,368,true
Bespoke,10,8,370,true
Bespoke,11,8,415,true
Naive,1,10,2,false
Naive,2,10,1,false
Naive,3,10,1,false
Naive,4,10,1,false
Naive,5,10,1,false
Naive,6,10,1,false
Naive,7,10,1,false
Naive,8,10,1,false
Naive,9,10,1,false
Naive,10,10,1,false
Naive,11,10,1,false
Berger,1,10,313874,true
Berger,2,10,316707,true
Berger,3,10,313404,true
Berger,4,10,315447,true
Berger,5,10,313829,true
Berger,6,10,319522,true
Berger,7,10,318828,true
Berger,8,10,312485,true
Berger,9,10,316397,true
Berger,10,10,317442,true
Berger,11,10,316420,true
Pruned,1,10,146820,true
Pruned,2,10,148021,true
Pruned,3,10,151959,true
Pruned,4,10,146785,true
Pruned,5,10,146315,true
Pruned,6,10,147296,true
Pruned,7,10,146787,true
Pruned,8,10,147839,true
Pruned,9,10,147543,true
Pruned,10,10,149422,true
Pruned,11,10,150238,true
Effectful,1,10,80504,true
Effectful,2,10,77061,true
Effectful,3,10,77099,true
Effectful,4,10,76488,true
Effectful,5,10,76270,true
Effectful,6,10,76790,true
Effectful,7,10,77613,true
Effectful,8,10,78075,true
Effectful,9,10,76630,true
Effectful,10,10,76669,true
Effectful,11,10,76903,true
Bespoke,1,10,9116,true
Bespoke,2,10,9166,true
Bespoke,3,10,9148,true
Bespoke,4,10,9135,true
Bespoke,5,10,9107,true
Bespoke,6,10,9108,true
Bespoke,7,10,9213,true
Bespoke,8,10,9261,true
Bespoke,9,10,9189,true
Bespoke,10,10,9110,true
Bespoke,11,10,9114,true
Naive,1,12,1,false
Naive,2,12,1,false
Naive,3,12,1,false
Naive,4,12,1,false
Naive,5,12,1,false
Naive,6,12,1,false
Naive,7,12,2,false
Naive,8,12,2,false
Naive,9,12,1,false
Naive,10,12,1,false
Naive,11,12,1,false
Berger,1,12,14914227,true
Berger,2,12,14997619,true
Berger,3,12,14955995,true
Berger,4,12,15130986,true
Berger,5,12,14991720,true
Berger,6,12,14946139,true
Berger,7,12,14985913,true
Berger,8,12,15018532,true
Berger,9,12,15036976,true
Berger,10,12,14972983,true
Berger,11,12,14959119,true
Pruned,1,12,6229283,true
Pruned,2,12,6163256,true
Pruned,3,12,6139231,true
Pruned,4,12,6136685,true
Pruned,5,12,6145750,true
Pruned,6,12,6179136,true
Pruned,7,12,6153714,true
Pruned,8,12,6126360,true
Pruned,9,12,6194952,true
Pruned,10,12,6192108,true
Pruned,11,12,6208396,true
Effectful,1,12,2621234,true
Effectful,2,12,2572218,true
Effectful,3,12,2593198,true
Effectful,4,12,2593353,true
Effectful,5,12,2573229,true
Effectful,6,12,2551197,true
Effectful,7,12,2639302,true
Effectful,8,12,2560632,true
Effectful,9,12,2558400,true
Effectful,10,12,2567159,true
Effectful,11,12,2549737,true
Bespoke,1,12,300136,true
Bespoke,2,12,304706,true
Bespoke,3,12,299506,true
Bespoke,4,12,299890,true
Bespoke,5,12,299838,true
Bespoke,6,12,300201,true
Bespoke,7,12,298796,true
Bespoke,8,12,300502,true
Bespoke,9,12,298979,true
Bespoke,10,12,299232,true
Bespoke,11,12,299070,true
Naive',1,8,643170,true
Naive',2,8,643191,true
Naive',3,8,642723,true
Naive',4,8,643143,true
Naive',5,8,646176,true
Naive',6,8,647796,true
Naive',7,8,643127,true
Naive',8,8,643973,true
Naive',9,8,643073,true
Naive',10,8,644734,true
Naive',11,8,643276,true
Berger',1,8,6107,true
Berger',2,8,6088,true
Berger',3,8,6056,true
Berger',4,8,6101,true
Berger',5,8,6090,true
Berger',6,8,6073,true
