label,iter,n,elapsed,valid
Berger,1,12,7829,true
Berger,2,12,5767,true
Berger,3,12,3760,true
Berger,4,12,3757,true
Berger,5,12,3761,true
Berger,6,12,3746,true
Berger,7,12,3756,true
Berger,8,12,3742,true
Berger,9,12,3730,true
Berger,10,12,3736,true
Berger,11,12,3758,true
Pruned,1,12,883,true
Pruned,2,12,830,true
Pruned,3,12,838,true
Pruned,4,12,827,true
Pruned,5,12,827,true
Pruned,6,12,883,true
Pruned,7,12,829,true
Pruned,8,12,827,true
Pruned,9,12,837,true
Pruned,10,12,849,true
Pruned,11,12,850,true
Effectful,1,12,6925,true
Effectful,2,12,6654,true
Effectful,3,12,6676,true
Effectful,4,12,6604,true
Effectful,5,12,6559,true
Effectful,6,12,6554,true
Effectful,7,12,6554,true
Effectful,8,12,6569,true
Effectful,9,12,6573,true
Effectful,10,12,6567,true
Effectful,11,12,6581,true
Bespoke,1,12,49,true
Bespoke,2,12,48,true
Bespoke,3,12,45,true
Bespoke,4,12,45,true
Bespoke,5,12,42,true
Bespoke,6,12,44,true
Bespoke,7,12,41,true
Bespoke,8,12,43,true
Bespoke,9,12,41,true
Bespoke,10,12,44,true
Bespoke,11,12,39,true
Berger,1,16,461185,true
Berger,2,16,461276,true
Berger,3,16,461220,true
Berger,4,16,461190,true
Berger,5,16,461539,true
Berger,6,16,461840,true
Berger,7,16,462321,true
Berger,8,16,461248,true
Berger,9,16,461897,true
Berger,10,16,461882,true
Berger,11,16,461671,true
Pruned,1,16,75012,true
Pruned,2,16,74850,true
Pruned,3,16,74839,true
Pruned,4,16,74849,true
Pruned,5,16,74819,true
Pruned,6,16,74808,true
Pruned,7,16,74817,true
Pruned,8,16,74857,true
Pruned,9,16,74837,true
Pruned,10,16,75011,true
Pruned,11,16,74892,true
Effectful,1,16,479182,true
Effectful,2,16,476165,true
Effectful,3,16,476818,true
Effectful,4,16,475930,true
Effectful,5,16,476264,true
Effectful,6,16,476171,true
Effectful,7,16,476148,true
Effectful,8,16,476029,true
Effectful,9,16,476058,true
Effectful,10,16,476098,true
Effectful,11,16,476470,true
Bespoke,1,16,2940,true
Bespoke,2,16,3064,true
Bespoke,3,16,2767,true
Bespoke,4,16,2770,true
Bespoke,5,16,2755,true
Bespoke,6,16,2766,true
Bespoke,7,16,2766,true
Bespoke,8,16,2762,true
Bespoke,9,16,2763,true
Bespoke,10,16,2766,true
Bespoke,11,16,2758,true
Berger,1,20,22440423,true
Berger,2,20,22360140,true
Berger,3,20,22385000,true
Berger,4,20,22427737,true
Berger,5,20,22381010,true
Berger,6,20,22435830,true
Berger,7,20,22383099,true
Berger,8,20,22625652,true
Berger,9,20,22476737,true
Berger,10,20,22434533,true
Berger,11,20,22413606,true
Pruned,1,20,2980431,true
Pruned,2,20,2979420,true
Pruned,3,20,3030216,true
Pruned,4,20,2985253,true
Pruned,5,20,3010344,true
Pruned,6,20,2981260,true
Pruned,7,20,3001681,true
Pruned,8,20,2979163,true
Pruned,9,20,2980371,true
Pruned,10,20,2979664,true
