label,iter,n,elapsed,valid
Berger,1,12,9110,true
Berger,2,12,6824,true
Berger,3,12,5230,true
Berger,4,12,5255,true
Berger,5,12,4935,true
Berger,6,12,4932,true
Berger,7,12,5157,true
Berger,8,12,5235,true
Berger,9,12,5197,true
Berger,10,12,4941,true
Berger,11,12,5202,true
Pruned,1,12,1621,true
Pruned,2,12,1556,true
Pruned,3,12,1635,true
Pruned,4,12,1558,true
Pruned,5,12,1565,true
Pruned,6,12,1555,true
Pruned,7,12,1557,true
Pruned,8,12,1564,true
Pruned,9,12,1670,true
Pruned,10,12,1699,true
Pruned,11,12,1665,true
Effectful,1,12,762,true
Effectful,2,12,756,true
Effectful,3,12,766,true
Effectful,4,12,726,true
Effectful,5,12,726,true
Effectful,6,12,727,true
Effectful,7,12,724,true
Effectful,8,12,735,true
Effectful,9,12,733,true
Effectful,10,12,747,true
Effectful,11,12,722,true
Bespoke,1,12,83,true
Bespoke,2,12,81,true
Bespoke,3,12,80,true
Bespoke,4,12,81,true
Bespoke,5,12,80,true
Bespoke,6,12,80,true
Bespoke,7,12,80,true
Bespoke,8,12,80,true
Bespoke,9,12,80,true
Bespoke,10,12,80,true
Bespoke,11,12,80,true
Berger,1,16,623074,true
Berger,2,16,590204,true
Berger,3,16,601134,true
Berger,4,16,599924,true
Berger,5,16,602848,true
Berger,6,16,604531,true
Berger,7,16,599376,true
Berger,8,16,590303,true
Berger,9,16,595878,true
Berger,10,16,591886,true
Berger,11,16,593103,true
Pruned,1,16,149288,true
Pruned,2,16,147451,true
Pruned,3,16,138780,true
Pruned,4,16,143189,true
Pruned,5,16,143504,true
Pruned,6,16,139834,true
Pruned,7,16,144500,true
Pruned,8,16,139886,true
Pruned,9,16,146423,true
Pruned,10,16,146593,true
Pruned,11,16,138633,true
Effectful,1,16,42847,true
Effectful,2,16,42373,true
Effectful,3,16,42339,true
Effectful,4,16,42134,true
Effectful,5,16,42461,true
Effectful,6,16,42316,true
Effectful,7,16,43257,true
Effectful,8,16,42256,true
Effectful,9,16,42294,true
Effectful,10,16,42062,true
Effectful,11,16,42327,true
Bespoke,1,16,4838,true
Bespoke,2,16,4831,true
Bespoke,3,16,4834,true
Bespoke,4,16,4833,true
Bespoke,5,16,4839,true
Bespoke,6,16,4833,true
Bespoke,7,16,4877,true
Bespoke,8,16,4835,true
Bespoke,9,16,5354,true
Bespoke,10,16,4833,true
Bespoke,11,16,4834,true
Berger,1,20,28157084,true
Berger,2,20,28072460,true
Berger,3,20,28157376,true
Berger,4,20,28408745,true
Berger,5,20,28146778,true
Berger,6,20,28310515,true
Berger,7,20,28295555,true
Berger,8,20,28186521,true
Berger,9,20,28215513,true
Berger,10,20,28396069,true
Berger,11,20,28166859,true
Pruned,1,20,5620501,true
Pruned,2,20,5570146,true
Pruned,3,20,5587140,true
Pruned,4,20,5490227,true
Pruned,5,20,5486556,true
Pruned,6,20,5539229,true
Pruned,7,20,5527031,true
Pruned,8,20,5493693,true
Pruned,9,20,5437229,true
Pruned,10,20,5469719,true
Pruned,11,20,5523440,true
Effectful,1,20,1232729,true
Effectful,2,20,1234125,true
Effectful,3,20,1221452,true
Effectful,4,20,1289306,true
Effectful,5,20,1239271,true
Effectful,6,20,1250440,true
Effectful,7,20,1244774,true
Effectful,8,20,1223615,true
Effectful,9,20,1254385,true
Effectful,10,20,1294024,true
Effectful,11,20,1276713,true
Bespoke,1,20,137884,true
Bespoke,2,20,138195,true
Bespoke,3,20,137967,true
Bespoke,4,20,137916,true
Bespoke,5,20,138360,true
Bespoke,6,20,137949,true
Bespoke,7,20,137877,true
Bespoke,8,20,137868,true
Bespoke,9,20,137937,true
Bespoke,10,20,137871,true
Bespoke,11,20,137877,true
Berger,1,24,115300520,true
Berger,2,24,115033076,true
Berger,3,24,114745910,true
Berger,4,24,114754436,true
Berger,5,24,115405643,true
Berger,6,24,114601430,true
Berger,7,24,115513334,true
Berger,8,24,115326021,true
Berger,9,24,115299876,true
Berger,10,24,115317112,true
Berger,11,24,114519117,true
Pruned,1,24,19298946,true
Pruned,2,24,19470087,true
Pruned,3,24,19236029,true
Pruned,4,24,19134992,true
Pruned,5,24,19228351,true
Pruned,6,24,19312967,true
Pruned,7,24,19198154,true
Pruned,8,24,19413962,true
Pruned,9,24,19151977,true
Pruned,10,24,19209438,true
Pruned,11,24,19146667,true
Effectful,1,24,3422915,true
Effectful,2,24,3564809,true
Effectful,3,24,3528216,true
Effectful,4,24,3439435,true
Effectful,5,24,3568051,true
Effectful,6,24,3385221,true
Effectful,7,24,3377382,true
Effectful,8,24,3443999,true
Effectful,9,24,3376302,true
Effectful,10,24,3410525,true
Effectful,11,24,3392754,true
Bespoke,1,24,383735,true
Bespoke,2,24,383932,true
Bespoke,3,24,384474,true
Bespoke,4,24,384399,true
Bespoke,5,24,384001,true
Bespoke,6,24,383856,true
Bespoke,7,24,383857,true
Bespoke,8,24,383863,true
Bespoke,9,24,383825,true
Bespoke,10,24,383820,true
Bespoke,11,24,383738,true
Berger,1,28,1,false
Berger,2,28,1,false
Berger,3,28,1,false
Berger,4,28,1,false
Berger,5,28,2,false
Berger,6,28,1,false
Berger,7,28,1,false
Berger,8,28,2,false
Berger,9,28,1,false
Berger,10,28,1,false
Berger,11,28,1,false
Pruned,1,28,216753189,true
Pruned,2,28,216538129,true
Pruned,3,28,215781956,true
Pruned,4,28,215759558,true
Pruned,5,28,215930282,true
Pruned,6,28,216152179,true
Pruned,7,28,215839443,true
Pruned,8,28,215810857,true
Pruned,9,28,215957293,true
Pruned,10,28,216403932,true
Pruned,11,28,216784814,true
Effectful,1,28,33256749,true
Effectful,2,28,32653408,true
Effectful,3,28,32861650,true
Effectful,4,28,33526966,true
Effectful,5,28,33221810,true
Effectful,6,28,32857130,true
Effectful,7,28,33337519,true
Effectful,8,28,33720890,true
Effectful,9,28,32839172,true
Effectful,10,28,33085114,true
Effectful,11,28,32488032,true
Bespoke,1,28,3620082,true
Bespoke,2,28,3612443,true
Bespoke,3,28,3645024,true
Bespoke,4,28,3663407,true
Bespoke,5,28,3659623,true
Bespoke,6,28,3612245,true
Bespoke,7,28,3613354,true
Bespoke,8,28,3645864,true
Bespoke,9,28,3612823,true
Bespoke,10,28,3664276,true
Bespoke,11,28,3612410,true
Berger',1,12,2858,true
Berger',2,12,2852,true
Berger',3,12,2916,true
Berger',4,12,2853,true
Berger',5,12,2855,true
Berger',6,12,2852,true
Berger',7,12,2847,true
Berger',8,12,2882,true
Berger',9,12,2850,true
Berger',10,12,2863,true
Berger',11,12,2843,true
Pruned',1,12,862,true
Pruned',2,12,854,true
Pruned',3,12,854,true
Pruned',4,12,855,true
Pruned',5,12,856,true
Pruned',6,12,860,true
Pruned',7,12,854,true
Pruned',8,12,854,true
Pruned',9,12,854,true
Pruned',10,12,855,true
Pruned',11,12,861,true
Effectful',1,12,679,true
Effectful',2,12,660,true
Effectful',3,12,666,true
Effectful',4,12,658,true
Effectful',5,12,669,true
Effectful',6,12,653,true
Effectful',7,12,665,true
Effectful',8,12,655,true
Effectful',9,12,663,true
Effectful',10,12,654,true
Effectful',11,12,666,true
Berger',1,16,296711,true
Berger',2,16,303832,true
Berger',3,16,311724,true
Berger',4,16,302546,true
Berger',5,16,299666,true
Berger',6,16,302447,true
Berger',7,16,295781,true
Berger',8,16,295832,true
Berger',9,16,299154,true
Berger',10,16,319068,true
Berger',11,16,311776,true
Pruned',1,16,72240,true
Pruned',2,16,73068,true
